Dataset;BlockStartIndex;BlockEndIndex;StartDate;EndDate;EvenCount;Occurrences;Percentage
NEW_MODE;1;500;2009-07-02;2012-09-08;0;11;2.2
NEW_MODE;1;500;2009-07-02;2012-09-08;1;55;11.0
NEW_MODE;1;500;2009-07-02;2012-09-08;2;116;23.2
NEW_MODE;1;500;2009-07-02;2012-09-08;3;153;30.6
NEW_MODE;1;500;2009-07-02;2012-09-08;4;114;22.8
NEW_MODE;1;500;2009-07-02;2012-09-08;5;44;8.8
NEW_MODE;1;500;2009-07-02;2012-09-08;6;7;1.4
NEW_MODE;501;1000;2012-09-11;2015-11-19;0;5;1.0
NEW_MODE;501;1000;2012-09-11;2015-11-19;1;40;8.0
NEW_MODE;501;1000;2012-09-11;2015-11-19;2;138;27.6
NEW_MODE;501;1000;2012-09-11;2015-11-19;3;148;29.6
NEW_MODE;501;1000;2012-09-11;2015-11-19;4;116;23.2
NEW_MODE;501;1000;2012-09-11;2015-11-19;5;43;8.6
NEW_MODE;501;1000;2012-09-11;2015-11-19;6;10;2.0
NEW_MODE;1001;1500;2015-11-21;2019-01-29;0;9;1.8
NEW_MODE;1001;1500;2015-11-21;2019-01-29;1;44;8.8
NEW_MODE;1001;1500;2015-11-21;2019-01-29;2;117;23.4
NEW_MODE;1001;1500;2015-11-21;2019-01-29;3;159;31.8
NEW_MODE;1001;1500;2015-11-21;2019-01-29;4;118;23.6
NEW_MODE;1001;1500;2015-11-21;2019-01-29;5;45;9.0
NEW_MODE;1001;1500;2015-11-21;2019-01-29;6;8;1.6
NEW_MODE;1501;2000;2019-01-31;2022-05-21;0;8;1.6
NEW_MODE;1501;2000;2019-01-31;2022-05-21;1;49;9.8
NEW_MODE;1501;2000;2019-01-31;2022-05-21;2;131;26.2
NEW_MODE;1501;2000;2019-01-31;2022-05-21;3;157;31.4
NEW_MODE;1501;2000;2019-01-31;2022-05-21;4;117;23.4
NEW_MODE;1501;2000;2019-01-31;2022-05-21;5;34;6.8
NEW_MODE;1501;2000;2019-01-31;2022-05-21;6;4;0.8
NEW_MODE;2001;2500;2022-05-24;2025-01-24;0;10;2.0
NEW_MODE;2001;2500;2022-05-24;2025-01-24;1;42;8.4
NEW_MODE;2001;2500;2022-05-24;2025-01-24;2;115;23.0
NEW_MODE;2001;2500;2022-05-24;2025-01-24;3;160;32.0
NEW_MODE;2001;2500;2022-05-24;2025-01-24;4;123;24.6
NEW_MODE;2001;2500;2022-05-24;2025-01-24;5;46;9.2
NEW_MODE;2001;2500;2022-05-24;2025-01-24;6;4;0.8
NEW_MODE;2501;2818;2025-01-25;2026-08-04;0;3;0.9434
NEW_MODE;2501;2818;2025-01-25;2026-08-04;1;30;9.434
NEW_MODE;2501;2818;2025-01-25;2026-08-04;2;82;25.7862
NEW_MODE;2501;2818;2025-01-25;2026-08-04;3;97;30.5031
NEW_MODE;2501;2818;2025-01-25;2026-08-04;4;74;23.2704
NEW_MODE;2501;2818;2025-01-25;2026-08-04;5;26;8.1761
NEW_MODE;2501;2818;2025-01-25;2026-08-04;6;6;1.8868
