Dataset;Trigger;WindowSize;PoolSize;CandidatePool;Split;SplitStartDate;SplitEndDate;DiscoveryOccurrences;Occurrences;AverageBestHit;WindowsAtLeast2;RateAtLeast2;WindowsAtLeast3;RateAtLeast3;WindowsAtLeast4;RateAtLeast4;WindowsAtLeast5;RateAtLeast5;WindowsAtLeast6;RateAtLeast6;RandomAverageBestHit;RandomRateAtLeast2;RandomRateAtLeast3;RandomRateAtLeast4;RandomRateAtLeast5;RandomRateAtLeast6;LiftAtLeast2PctPoints;LiftAtLeast3PctPoints;LiftAtLeast4PctPoints;LiftAtLeast5PctPoints;LiftAtLeast6PctPoints
NEW_MODE;1;9;13;02,18,20,23,25,47,55,63,75,78,83,84,90;DISCOVERY;2009-07-02;2020-05-28;112;112;2.517857;106;94.642857;51;45.535714;13;11.607143;0;0.0;0;0.0;2.1985;87.714286;28.953571;3.080357;0.107143;0.0;6.928571;16.582143;8.526786;-0.107143;0.0
NEW_MODE;1;9;13;02,18,20,23,25,47,55,63,75,78,83,84,90;VALIDATION;2020-05-30;2023-11-18;112;34;1.970588;29;85.294118;4;11.764706;0;0.0;0;0.0;0;0.0;2.203;87.647059;29.341177;3.182353;0.158824;0.0;-2.352941;-17.576471;-3.182353;-0.158824;0.0
NEW_MODE;1;9;13;02,18,20,23,25,47,55,63,75,78,83,84,90;TEST;2023-11-21;2026-08-04;112;39;2.282051;37;94.871795;10;25.641026;3;7.692308;0;0.0;0;0.0;2.203436;88.230769;28.948718;3.097436;0.071795;0.0;6.641026;-3.307692;4.594872;-0.071795;0.0
NEW_MODE;2;9;13;11,14,24,32,35,45,58,63,71,72,74,80,85;DISCOVERY;2009-07-02;2020-05-28;99;99;2.464646;93;93.939394;46;46.464646;6;6.060606;0;0.0;0;0.0;2.20105;87.854546;29.10707;3.040404;0.121212;0.0;6.084848;17.357576;3.020202;-0.121212;0.0
NEW_MODE;2;9;13;11,14,24,32,35,45,58,63,71,72,74,80,85;VALIDATION;2020-05-30;2023-11-18;99;25;2.04;19;76.0;7;28.0;0;0.0;0;0.0;0;0.0;2.19408;87.784;28.2;3.328;0.104;0.008;-11.784;-0.2;-3.328;-0.104;-0.008
NEW_MODE;2;9;13;11,14,24,32,35,45,58,63,71,72,74,80,85;TEST;2023-11-21;2026-08-04;99;42;2.166667;37;88.095238;11;26.190476;1;2.380952;0;0.0;0;0.0;2.202905;87.966667;29.114286;3.085714;0.142857;0.0;0.128571;-2.92381;-0.704762;-0.142857;0.0
NEW_MODE;3;9;13;06,09,12,20,24,27,62,63,69,72,78,80,85;DISCOVERY;2009-07-02;2020-05-28;92;92;2.630435;90;97.826087;52;56.521739;8;8.695652;0;0.0;0;0.0;2.199022;87.465217;29.126087;3.184783;0.134783;0.006522;10.36087;27.395652;5.510869;-0.134783;-0.006522
NEW_MODE;3;9;13;06,09,12,20,24,27,62,63,69,72,78,80,85;VALIDATION;2020-05-30;2023-11-18;92;35;2.142857;29;82.857143;10;28.571429;1;2.857143;0;0.0;0;0.0;2.202343;87.965714;28.88;3.245714;0.177143;0.0;-5.108571;-0.308571;-0.388571;-0.177143;0.0
NEW_MODE;3;9;13;06,09,12,20,24,27,62,63,69,72,78,80,85;TEST;2023-11-21;2026-08-04;92;35;2.228571;30;85.714286;12;34.285714;1;2.857143;0;0.0;0;0.0;2.206171;87.485714;29.565714;3.428572;0.154286;0.0;-1.771428;4.72;-0.571429;-0.154286;0.0
NEW_MODE;4;9;13;26,34,40,45,49,50,59,67,71,78,83,88,90;DISCOVERY;2009-07-02;2020-05-28;100;100;2.42;95;95.0;40;40.0;7;7.0;0;0.0;0;0.0;2.19758;87.628;28.828;3.2;0.12;0.004;7.372;11.172;3.8;-0.12;-0.004
