Dataset;Trigger;CandidatePool;CandidateNumber;DiscoveryRank;Split;Occurrences;PostDrawTotal;GeneralAppearances;GeneralRatePct;PostAppearances;PostRatePct;LiftPctPoints;RateRatio;WindowsContainingNumber;WindowPresenceRatePct
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;2;13;DISCOVERY;112;1008;100;5.91716;68;6.746032;0.828872;1.140079;53;47.321429
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;18;6;DISCOVERY;112;1008;97;5.739645;71;7.043651;1.304006;1.227193;52;46.428571
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;20;7;DISCOVERY;112;1008;112;6.627219;79;7.837302;1.210083;1.182593;55;49.107143
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;23;10;DISCOVERY;112;1008;98;5.798817;67;6.646825;0.848009;1.146238;52;46.428571
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;25;9;DISCOVERY;112;1008;117;6.923077;80;7.936508;1.013431;1.146384;57;50.892857
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;47;11;DISCOVERY;112;1008;125;7.39645;83;8.234127;0.837677;1.113254;65;58.035714
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;55;4;DISCOVERY;112;1008;122;7.218935;87;8.630952;1.412017;1.195599;62;55.357143
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;63;1;DISCOVERY;112;1008;109;6.449704;84;8.333333;1.883629;1.292049;65;58.035714
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;75;3;DISCOVERY;112;1008;128;7.573964;92;9.126984;1.55302;1.205047;64;57.142857
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;78;12;DISCOVERY;112;1008;120;7.100592;80;7.936508;0.835916;1.117725;59;52.678571
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;83;5;DISCOVERY;112;1008;127;7.514793;89;8.829365;1.314572;1.174931;69;61.607143
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;84;2;DISCOVERY;112;1008;114;6.745562;85;8.43254;1.686978;1.250087;61;54.464286
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;90;8;DISCOVERY;112;1008;129;7.633136;88;8.730159;1.097023;1.143718;64;57.142857
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;2;13;VALIDATION;34;306;25;4.432624;13;4.248366;-0.184258;0.958431;12;35.294118
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;18;6;VALIDATION;34;306;32;5.673759;19;6.20915;0.535391;1.094363;15;44.117647
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;20;7;VALIDATION;34;306;37;6.560284;25;8.169935;1.609651;1.245363;18;52.941176
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;23;10;VALIDATION;34;306;36;6.382979;14;4.575163;-1.807815;0.716776;12;35.294118
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;25;9;VALIDATION;34;306;46;8.156028;16;5.228758;-2.92727;0.641091;9;26.470588
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;47;11;VALIDATION;34;306;38;6.737589;24;7.843137;1.105549;1.164087;18;52.941176
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;55;4;VALIDATION;34;306;41;7.269504;23;7.51634;0.246836;1.033955;17;50.0
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;63;1;VALIDATION;34;306;34;6.028369;19;6.20915;0.180782;1.029988;16;47.058824
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;75;3;VALIDATION;34;306;33;5.851064;13;4.248366;-1.602698;0.726084;12;35.294118
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;78;12;VALIDATION;34;306;35;6.205674;16;5.228758;-0.976916;0.842577;13;38.235294
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;83;5;VALIDATION;34;306;34;6.028369;17;5.555556;-0.472813;0.921569;16;47.058824
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;84;2;VALIDATION;34;306;32;5.673759;24;7.843137;2.169378;1.382353;18;52.941176
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;90;8;VALIDATION;34;306;29;5.141844;15;4.901961;-0.239883;0.953347;12;35.294118
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;2;13;TEST;39;351;44;7.801418;42;11.965812;4.164394;1.5338;26;66.666667
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;18;6;TEST;39;351;42;7.446809;21;5.982906;-1.463903;0.803419;18;46.153846
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;20;7;TEST;39;351;42;7.446809;29;8.262108;0.8153;1.109483;23;58.974359
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;23;10;TEST;39;351;44;7.801418;24;6.837607;-0.963812;0.876457;16;41.025641
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;25;9;TEST;39;351;35;6.205674;21;5.982906;-0.222768;0.964103;18;46.153846
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;47;11;TEST;39;351;41;7.269504;30;8.547009;1.277505;1.175735;22;56.410256
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;55;4;TEST;39;351;39;6.914894;26;7.407407;0.492514;1.071225;19;48.717949
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;63;1;TEST;39;351;47;8.333333;27;7.692308;-0.641026;0.923077;22;56.410256
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;75;3;TEST;39;351;37;6.560284;18;5.128205;-1.432079;0.781705;16;41.025641
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;78;12;TEST;39;351;29;5.141844;26;7.407407;2.265563;1.440613;21;53.846154
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;83;5;TEST;39;351;47;8.333333;32;9.116809;0.783476;1.094017;26;66.666667
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;84;2;TEST;39;351;35;6.205674;14;3.988604;-2.21707;0.642735;11;28.205128
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;90;8;TEST;39;351;35;6.205674;24;6.837607;0.631933;1.101832;23;58.974359
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;11;12;DISCOVERY;99;891;120;7.100592;72;8.080808;0.980216;1.138047;55;55.555556
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;14;11;DISCOVERY;99;891;99;5.857988;61;6.84624;0.988252;1.168702;52;52.525253
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;24;2;DISCOVERY;99;891;108;6.390533;73;8.193042;1.802509;1.282059;51;51.515152
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;32;3;DISCOVERY;99;891;131;7.751479;81;9.090909;1.33943;1.172797;59;59.59596
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;35;13;DISCOVERY;99;891;111;6.568047;67;7.519641;0.951594;1.144882;47;47.474747
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;45;10;DISCOVERY;99;891;133;7.869822;79;8.866442;0.99662;1.126638;59;59.59596
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;58;7;DISCOVERY;99;891;110;6.508876;68;7.631874;1.122999;1.172533;50;50.505051
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;63;4;DISCOVERY;99;891;109;6.449704;69;7.744108;1.294404;1.200692;54;54.545455
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;71;1;DISCOVERY;99;891;100;5.91716;77;8.641975;2.724816;1.460494;57;57.575758
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;72;9;DISCOVERY;99;891;109;6.449704;67;7.519641;1.069937;1.165889;53;53.535354
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;74;8;DISCOVERY;99;891;122;7.218935;74;8.305275;1.08634;1.150485;50;50.505051
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;80;5;DISCOVERY;99;891;110;6.508876;69;7.744108;1.235232;1.189777;51;51.515152
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;85;6;DISCOVERY;99;891;132;7.810651;80;8.978676;1.168025;1.149543;58;58.585859
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;11;12;VALIDATION;25;225;27;4.787234;8;3.555556;-1.231678;0.742716;7;28.0
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;14;11;VALIDATION;25;225;36;6.382979;15;6.666667;0.283688;1.044444;12;48.0
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;24;2;VALIDATION;25;225;34;6.028369;10;4.444444;-1.583924;0.737255;10;40.0
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;32;3;VALIDATION;25;225;38;6.737589;22;9.777778;3.040189;1.451228;12;48.0
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;35;13;VALIDATION;25;225;40;7.092199;13;5.777778;-1.314421;0.814667;9;36.0
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;45;10;VALIDATION;25;225;40;7.092199;12;5.333333;-1.758865;0.752;11;44.0
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;58;7;VALIDATION;25;225;43;7.624113;13;5.777778;-1.846336;0.757829;11;44.0
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;63;4;VALIDATION;25;225;34;6.028369;17;7.555556;1.527187;1.253333;15;60.0
NEW_MODE;2;11,14,24,32,35,45,58,63,71,72,74,80,85;71;1;VALIDATION;25;225;42;7.446809;21;9.333333;1.886525;1.253333;15;60.0
