Dataset;Trigger;CandidatePool;CandidateNumber;DiscoveryRank;Split;Offset;Occurrences;Appearances;RatePct;GeneralRatePct;LiftPctPoints
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;15;6;DISCOVERY;9;195;12;6.153846;6.247544;-0.093698
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;DISCOVERY;1;195;9;4.615385;6.286837;-1.671452
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;DISCOVERY;2;195;16;8.205128;6.286837;1.918291
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;DISCOVERY;3;195;15;7.692308;6.286837;1.405471
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;DISCOVERY;4;195;10;5.128205;6.286837;-1.158632
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;DISCOVERY;5;195;15;7.692308;6.286837;1.405471
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;DISCOVERY;6;195;19;9.74359;6.286837;3.456753
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;DISCOVERY;7;195;11;5.641026;6.286837;-0.645811
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;DISCOVERY;8;195;14;7.179487;6.286837;0.89265
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;DISCOVERY;9;195;13;6.666667;6.286837;0.37983
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;DISCOVERY;1;195;16;8.205128;6.483301;1.721828
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;DISCOVERY;2;195;17;8.717949;6.483301;2.234648
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;DISCOVERY;3;195;14;7.179487;6.483301;0.696187
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;DISCOVERY;4;195;16;8.205128;6.483301;1.721828
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;DISCOVERY;5;195;13;6.666667;6.483301;0.183366
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;DISCOVERY;6;195;16;8.205128;6.483301;1.721828
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;DISCOVERY;7;195;17;8.717949;6.483301;2.234648
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;DISCOVERY;8;195;8;4.102564;6.483301;-2.380736
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;DISCOVERY;9;195;10;5.128205;6.483301;-1.355095
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;DISCOVERY;1;195;13;6.666667;5.972495;0.694172
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;DISCOVERY;2;195;10;5.128205;5.972495;-0.84429
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;DISCOVERY;3;195;9;4.615385;5.972495;-1.35711
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;DISCOVERY;4;195;14;7.179487;5.972495;1.206992
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;DISCOVERY;5;195;14;7.179487;5.972495;1.206992
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;DISCOVERY;6;195;10;5.128205;5.972495;-0.84429
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;DISCOVERY;7;195;18;9.230769;5.972495;3.258274
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;DISCOVERY;8;195;12;6.153846;5.972495;0.181351
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;DISCOVERY;9;195;17;8.717949;5.972495;2.745454
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;DISCOVERY;1;195;15;7.692308;6.679764;1.012543
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;DISCOVERY;2;195;15;7.692308;6.679764;1.012543
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;DISCOVERY;3;195;15;7.692308;6.679764;1.012543
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;DISCOVERY;4;195;17;8.717949;6.679764;2.038184
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;DISCOVERY;5;195;13;6.666667;6.679764;-0.013098
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;DISCOVERY;6;195;15;7.692308;6.679764;1.012543
