Dataset;Trigger;WindowSize;PoolSize;CandidatePool;Split;SplitStartDate;SplitEndDate;DiscoveryOccurrences;Occurrences;AverageBestHit;WindowsAtLeast2;RateAtLeast2;WindowsAtLeast3;RateAtLeast3;WindowsAtLeast4;RateAtLeast4;WindowsAtLeast5;RateAtLeast5;WindowsAtLeast6;RateAtLeast6;RandomAverageBestHit;RandomRateAtLeast2;RandomRateAtLeast3;RandomRateAtLeast4;RandomRateAtLeast5;RandomRateAtLeast6;LiftAtLeast2PctPoints;LiftAtLeast3PctPoints;LiftAtLeast4PctPoints;LiftAtLeast5PctPoints;LiftAtLeast6PctPoints
OVERALL;1;9;13;05,10,15,16,21,23,57,61,62,63,75,83,90;DISCOVERY;1997-12-03;2016-08-25;195;195;2.317949;177;90.769231;75;38.461538;5;2.564103;0;0.0;0;0.0;2.201046;87.684103;29.01641;3.271795;0.142564;0.001026;3.085128;9.445128;-0.707692;-0.142564;-0.001026
OVERALL;1;9;13;05,10,15,16,21,23,57,61,62,63,75,83,90;VALIDATION;2016-08-27;2022-03-10;195;51;2.352941;47;92.156863;19;37.254902;3;5.882353;0;0.0;0;0.0;2.19949;87.666667;28.956863;3.247059;0.098039;0.0;4.490196;8.298039;2.635294;-0.098039;0.0
OVERALL;1;9;13;05,10,15,16,21,23,57,61,62,63,75,83,90;TEST;2022-03-12;2026-08-04;195;53;2.075472;45;84.90566;11;20.754717;1;1.886792;0;0.0;0;0.0;2.206453;88.215094;29.29434;3.041509;0.10566;0.0;-3.309434;-8.539623;-1.154717;-0.10566;0.0
OVERALL;2;9;13;03,07,12,22,24,54,58,64,65,71,80,86,89;DISCOVERY;1997-12-03;2016-08-25;155;155;2.490323;145;93.548387;70;45.16129;16;10.322581;0;0.0;0;0.0;2.194826;87.553548;28.781935;3.030968;0.131613;0.00129;5.994839;16.379355;7.291613;-0.131613;-0.00129
OVERALL;2;9;13;03,07,12,22,24,54,58,64,65,71,80,86,89;VALIDATION;2016-08-27;2022-03-10;155;48;2.166667;42;87.5;14;29.166667;0;0.0;0;0.0;0;0.0;2.202417;87.925;29.0375;3.1875;0.104167;0.004167;-0.425;0.129167;-3.1875;-0.104167;-0.004167
OVERALL;2;9;13;03,07,12,22,24,54,58,64,65,71,80,86,89;TEST;2022-03-12;2026-08-04;155;56;2.089286;46;82.142857;15;26.785714;0;0.0;0;0.0;0;0.0;2.200214;87.9;28.821429;3.192857;0.128571;0.0;-5.757143;-2.035715;-3.192857;-0.128571;0.0
OVERALL;3;9;13;07,09,14,17,20,24,29,48,62,64,72,82,85;DISCOVERY;1997-12-03;2016-08-25;168;168;2.434524;160;95.238095;68;40.47619;12;7.142857;1;0.595238;0;0.0;2.197429;87.527381;28.919048;3.180952;0.129762;0.004762;7.710714;11.557142;3.961905;0.465476;-0.004762
OVERALL;3;9;13;07,09,14,17,20,24,29,48,62,64,72,82,85;VALIDATION;2016-08-27;2022-03-10;168;48;2.25;43;89.583333;14;29.166667;3;6.25;0;0.0;0;0.0;2.198042;87.495833;29.045833;3.175;0.120833;0.0;2.0875;0.120834;3.075;-0.120833;0.0
OVERALL;3;9;13;07,09,14,17,20,24,29,48,62,64,72,82,85;TEST;2022-03-12;2026-08-04;168;54;2.12963;45;83.333333;15;27.777778;1;1.851852;0;0.0;0;0.0;2.200778;87.388889;29.203704;3.348148;0.155556;0.0;-4.055556;-1.425926;-1.496296;-0.155556;0.0
OVERALL;4;9;13;19,22,34,50,61,63,68,71,76,78,83,88,90;DISCOVERY;1997-12-03;2016-08-25;170;170;2.435294;164;96.470588;66;38.823529;14;8.235294;0;0.0;0;0.0;2.197412;87.632941;28.897647;3.076471;0.144706;0.002353;8.837647;9.925882;5.158823;-0.144706;-0.002353
