Dataset;Trigger;WindowSize;PoolSize;CandidatePool;DiscoveryOccurrences;PositiveLiftMembersValidation;PositiveLiftMembersTest;PositiveLiftMembersBoth;StableMembers;StableMemberRatePct
NEW_MODE;1;9;13;02,18,20,23,25,47,55,63,75,78,83,84,90;112;6;7;3;20,47,55;23.076923
NEW_MODE;2;9;13;11,14,24,32,35,45,58,63,71,72,74,80,85;99;4;5;1;14;7.692308
NEW_MODE;3;9;13;06,09,12,20,24,27,62,63,69,72,78,80,85;92;7;8;4;06,12,63,80;30.769231
NEW_MODE;4;9;13;26,34,40,45,49,50,59,67,71,78,83,88,90;100;6;5;3;26,45,67;23.076923
NEW_MODE;5;9;13;08,10,11,15,29,39,44,56,68,69,70,87,90;98;4;5;1;69;7.692308
NEW_MODE;6;9;13;16,21,22,27,37,38,41,42,51,59,79,80,88;129;8;7;3;37,42,59;23.076923
NEW_MODE;7;9;13;04,20,21,36,44,46,48,56,58,71,81,83,90;95;9;6;4;21,46,71,81;30.769231
NEW_MODE;8;9;13;01,03,04,25,29,38,40,45,56,58,72,75,80;106;6;6;3;01,38,56;23.076923
NEW_MODE;9;9;13;11,13,14,17,37,44,45,51,52,63,64,77,84;120;8;7;6;13,14,44,51,77,84;46.153846
NEW_MODE;10;9;13;12,19,32,37,39,55,56,66,71,74,77,82,87;108;7;8;7;19,37,55,56,74,77,82;53.846154
NEW_MODE;11;9;13;07,08,19,22,27,40,44,45,51,59,63,78,86;120;6;5;3;07,27,44;23.076923
NEW_MODE;12;9;13;01,09,10,14,30,44,49,52,53,61,62,63,72;114;5;7;2;01,61;15.384615
NEW_MODE;13;9;13;09,10,11,21,35,37,38,48,55,58,60,85,90;97;7;4;2;55,58;15.384615
NEW_MODE;14;9;13;01,02,03,16,19,25,33,34,45,50,52,80,84;99;9;8;7;03,16,19,34,50,80,84;53.846154
NEW_MODE;15;9;13;06,11,20,22,26,36,37,47,51,61,77,78,90;117;6;3;1;47;7.692308
NEW_MODE;16;9;13;03,10,14,15,27,36,42,43,47,69,74,80,86;116;4;5;2;03,14;15.384615
NEW_MODE;17;9;13;02,04,08,11,14,34,40,45,50,65,70,74,78;117;6;7;4;34,40,45,70;30.769231
NEW_MODE;18;9;13;04,08,09,26,29,50,55,59,61,78,80,85,88;97;9;7;3;09,26,50;23.076923
NEW_MODE;19;9;13;13,17,22,31,39,58,64,65,71,74,76,85,90;125;6;3;1;39;7.692308
NEW_MODE;20;9;13;05,08,10,15,17,35,36,42,44,66,73,75,82;111;4;8;3;15,36,66;23.076923
NEW_MODE;21;9;13;02,04,08,14,26,52,58,69,74,79,80,86,88;120;6;6;3;02,69,86;23.076923
NEW_MODE;22;9;13;11,12,24,25,37,52,58,67,73,80,84,85,89;110;5;4;1;37;7.692308
