Dataset;Trigger;WindowSize;PoolSize;CandidatePool;DiscoveryOccurrences;PositiveLiftMembersValidation;PositiveLiftMembersTest;PositiveLiftMembersBoth;StableMembers;StableMemberRatePct
NEW_MODE;23;9;13;14,25,26,39,50,55,56,57,63,64,81,82,87;97;8;7;5;14,26,39,64,81;38.461538
NEW_MODE;24;9;13;15,16,30,31,36,40,46,49,53,59,74,84,88;108;4;4;0;;0.0
NEW_MODE;25;9;13;03,18,19,34,37,50,55,67,70,82,84,85,86;117;6;5;2;19,37;15.384615
NEW_MODE;26;9;13;02,11,19,28,41,50,53,59,61,68,69,71,90;117;6;6;1;59;7.692308
NEW_MODE;27;9;13;01,14,19,25,41,43,52,60,63,64,67,71,81;98;8;6;4;01,41,43,52;30.769231
NEW_MODE;28;9;13;05,09,19,30,38,46,51,60,66,77,83,85,88;103;4;6;2;19,38;15.384615
NEW_MODE;29;9;13;02,07,16,28,31,45,56,67,68,72,74,77,84;111;5;9;3;02,16,84;23.076923
NEW_MODE;30;9;13;01,12,22,23,25,32,39,49,54,55,66,67,75;101;5;6;1;01;7.692308
NEW_MODE;31;9;13;12,39,41,42,44,54,56,59,65,77,79,86,87;107;9;8;6;12,39,41,44,56,77;46.153846
NEW_MODE;32;9;13;01,02,16,21,22,24,29,51,58,68,69,74,84;131;5;7;1;51;7.692308
NEW_MODE;33;9;13;06,16,19,25,29,37,46,51,65,72,79,82,84;115;8;5;2;37,46;15.384615
NEW_MODE;34;9;13;04,09,12,21,26,39,45,49,59,61,67,68,70;120;6;4;1;26;7.692308
NEW_MODE;35;9;13;03,05,07,09,11,21,22,40,48,58,65,82,90;111;3;10;2;40,48;15.384615
NEW_MODE;36;9;13;06,07,08,17,33,40,46,62,63,71,73,78,87;98;6;5;3;07,17,71;23.076923
NEW_MODE;37;9;13;02,06,09,15,28,42,47,54,59,63,66,76,90;109;7;7;3;09,54,90;23.076923
NEW_MODE;38;9;13;09,12,30,31,32,33,54,58,72,75,84,85,87;119;5;6;1;33;7.692308
NEW_MODE;39;9;13;03,06,12,17,23,25,34,40,62,76,81,87,89;115;3;8;1;81;7.692308
NEW_MODE;40;9;13;02,04,05,22,28,29,34,36,48,49,82,83,87;101;6;5;3;04,49,82;23.076923
NEW_MODE;41;9;13;18,19,24,27,28,29,34,52,59,61,74,76,88;118;6;4;2;27,52;15.384615
NEW_MODE;42;9;13;02,03,12,15,20,21,27,31,33,49,53,54,66;104;6;7;4;20,27,33,54;30.769231
NEW_MODE;43;9;13;01,03,28,30,32,39,60,63,64,70,75,84,86;110;8;4;2;60,70;15.384615
NEW_MODE;44;9;13;02,05,23,35,36,39,56,57,60,64,75,81,82;100;5;8;3;23,60,82;23.076923
NEW_MODE;45;9;13;01,11,18,26,34,38,44,55,58,63,75,78,81;132;5;6;3;11,58,78;23.076923
NEW_MODE;46;9;13;15,16,20,22,33,36,38,39,48,54,57,69,79;109;6;5;2;20,57;15.384615
NEW_MODE;47;9;13;04,05,07,11,34,37,40,52,53,64,66,70,88;125;3;3;0;;0.0
NEW_MODE;48;9;13;03,04,09,12,13,17,18,22,26,36,69,80,85;121;7;6;5;04,12,17,36,69;38.461538
NEW_MODE;49;9;13;18,26,34,35,38,43,47,51,55,57,68,74,87;125;6;4;3;18,26,34;23.076923
NEW_MODE;50;9;13;01,03,05,06,09,15,30,36,38,43,70,80,89;103;7;9;4;03,05,36,38;30.769231
NEW_MODE;51;9;13;01,09,13,28,32,38,43,49,63,74,83,86,87;119;6;6;1;09;7.692308
NEW_MODE;52;9;13;01,03,05,17,25,33,39,43,45,66,76,83,89;131;3;5;1;89;7.692308
NEW_MODE;53;9;13;16,21,23,24,41,55,56,62,73,81,82,84,88;91;6;5;2;81,82;15.384615
NEW_MODE;54;9;13;05,10,19,22,25,39,47,49,67,68,69,75,85;129;7;3;1;39;7.692308
NEW_MODE;55;9;13;11,18,23,32,41,44,47,57,62,72,80,87,88;121;5;4;1;18;7.692308
NEW_MODE;56;9;13;07,27,28,31,36,38,44,45,73,74,77,81,86;123;7;7;4;38,44,73,74;30.769231
NEW_MODE;57;9;13;02,16,19,20,35,36,42,65,66,74,75,79,83;116;5;6;3;16,42,79;23.076923
NEW_MODE;58;9;13;02,07,19,25,33,44,45,74,76,80,83,87,90;110;7;6;4;07,19,45,74;30.769231
NEW_MODE;59;9;13;11,12,15,28,38,43,56,61,62,67,79,82,84;106;7;9;5;12,15,67,79,84;38.461538
NEW_MODE;60;9;13;05,23,29,37,41,48,50,56,74,77,78,81,90;90;5;6;4;23,50,77,81;30.769231
NEW_MODE;61;9;13;04,15,30,31,45,52,57,58,64,70,77,78,84;103;6;7;3;30,70,78;23.076923
NEW_MODE;62;9;13;13,19,24,26,32,36,45,51,52,63,64,70,83;112;7;8;5;19,45,51,63,83;38.461538
NEW_MODE;63;9;13;15,16,25,26,32,34,35,53,60,70,74,85,90;109;3;8;1;53;7.692308
NEW_MODE;64;9;13;03,14,25,33,46,48,52,58,68,69,76,81,85;97;5;8;4;03,14,52,69;30.769231
NEW_MODE;65;9;13;16,17,18,28,31,33,48,51,55,72,77,80,85;121;7;4;3;16,28,31;23.076923
NEW_MODE;66;9;13;10,11,22,30,34,35,36,39,42,70,73,86,89;114;7;6;3;11,30,34;23.076923
NEW_MODE;67;9;13;13,23,28,34,39,43,49,54,65,75,79,83,84;120;5;8;2;28,75;15.384615
NEW_MODE;68;9;13;07,18,22,23,29,30,33,45,46,55,56,65,67;118;6;8;5;07,22,29,30,33;38.461538
NEW_MODE;69;9;13;01,13,23,24,39,41,48,55,67,68,74,80,88;114;8;6;3;01,13,55;23.076923
NEW_MODE;70;9;13;03,13,18,24,45,48,57,77,78,81,82,83,87;97;3;4;0;;0.0
NEW_MODE;71;9;13;12,24,43,45,46,58,64,67,74,75,85,86,89;99;4;8;3;43,75,85;23.076923
NEW_MODE;72;9;13;10,16,23,29,35,41,44,47,50,57,68,75,79;109;8;7;4;10,29,41,50;30.769231
NEW_MODE;73;9;13;10,12,13,16,19,23,27,35,39,43,52,64,68;91;6;7;3;35,43,68;23.076923
NEW_MODE;74;9;13;03,05,06,08,13,14,25,40,49,62,67,70,75;121;3;5;1;05;7.692308
NEW_MODE;75;9;13;01,10,19,20,33,42,54,57,65,66,69,77,78;127;6;7;3;20,42,54;23.076923
NEW_MODE;76;9;13;05,16,18,31,39,42,57,59,70,74,82,87,89;104;9;4;2;18,42;15.384615
NEW_MODE;77;9;13;10,11,23,25,36,53,56,65,71,72,74,87,90;127;7;7;4;11,25,56,72;30.769231
NEW_MODE;78;9;13;06,08,32,40,42,44,46,56,57,69,75,77,83;118;6;5;2;56,75;15.384615
NEW_MODE;79;9;13;08,11,15,16,21,49,51,54,58,68,69,78,83;130;8;7;4;16,49,58,68;30.769231
NEW_MODE;80;9;13;04,06,11,17,30,45,50,51,59,67,72,86,90;109;5;8;3;04,45,67;23.076923
NEW_MODE;81;9;13;01,13,20,38,51,57,61,69,73,74,75,77,83;113;6;8;5;38,51,61,73,83;38.461538
NEW_MODE;82;9;13;28,37,42,48,52,57,58,64,65,70,77,85,90;123;10;4;3;65,77,90;23.076923
NEW_MODE;83;9;13;11,18,20,21,26,30,37,44,47,65,75,80,90;127;5;9;4;11,44,47,75;30.769231
NEW_MODE;84;9;13;01,15,16,20,41,47,49,53,55,56,71,77,83;113;7;9;6;16,20,41,53,56,83;46.153846
NEW_MODE;85;9;13;08,14,16,18,20,22,25,30,32,43,47,58,73;130;7;6;3;14,16,20;23.076923
NEW_MODE;86;9;13;01,14,18,21,28,30,52,64,69,70,74,78,85;124;5;7;4;70,74,78,85;30.769231
NEW_MODE;87;9;13;01,21,34,35,36,49,54,56,57,61,62,63,83;111;9;8;5;01,34,36,54,63;38.461538
NEW_MODE;88;9;13;11,15,25,28,42,49,55,63,64,82,83,86,90;104;7;7;4;11,42,55,82;30.769231
NEW_MODE;89;9;13;03,04,05,08,16,33,35,65,71,72,76,79,85;109;9;5;3;33,35,72;23.076923
NEW_MODE;90;9;13;04,05,09,10,16,33,38,52,61,65,72,78,84;129;3;8;2;05,65;15.384615
