Dataset;Trigger;CandidatePool;CandidateNumber;DiscoveryRank;Split;Offset;Occurrences;Appearances;RatePct;GeneralRatePct;LiftPctPoints
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;2;13;DISCOVERY;1;112;7;6.25;5.91716;0.33284
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;2;13;DISCOVERY;2;112;7;6.25;5.91716;0.33284
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;2;13;DISCOVERY;3;112;5;4.464286;5.91716;-1.452874
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;2;13;DISCOVERY;4;112;9;8.035714;5.91716;2.118555
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;2;13;DISCOVERY;5;112;9;8.035714;5.91716;2.118555
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;2;13;DISCOVERY;6;112;8;7.142857;5.91716;1.225697
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;2;13;DISCOVERY;7;112;7;6.25;5.91716;0.33284
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;2;13;DISCOVERY;8;112;5;4.464286;5.91716;-1.452874
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;2;13;DISCOVERY;9;112;11;9.821429;5.91716;3.904269
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;18;6;DISCOVERY;1;112;9;8.035714;5.739645;2.296069
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;18;6;DISCOVERY;2;112;10;8.928571;5.739645;3.188926
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;18;6;DISCOVERY;3;112;10;8.928571;5.739645;3.188926
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;18;6;DISCOVERY;4;112;8;7.142857;5.739645;1.403212
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;18;6;DISCOVERY;5;112;4;3.571429;5.739645;-2.168216
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;18;6;DISCOVERY;6;112;5;4.464286;5.739645;-1.275359
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;18;6;DISCOVERY;7;112;10;8.928571;5.739645;3.188926
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;18;6;DISCOVERY;8;112;9;8.035714;5.739645;2.296069
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;18;6;DISCOVERY;9;112;6;5.357143;5.739645;-0.382502
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;20;7;DISCOVERY;1;112;11;9.821429;6.627219;3.19421
NEW_MODE;1;02,18,20,23,25,47,55,63,75,78,83,84,90;20;7;DISCOVERY;2;112;7;6.25;6.627219;-0.377219
