Dataset;Trigger;CandidatePool;CandidateNumber;DiscoveryRank;Split;Occurrences;PostDrawTotal;GeneralAppearances;GeneralRatePct;PostAppearances;PostRatePct;LiftPctPoints;RateRatio;WindowsContainingNumber;WindowPresenceRatePct
OVERALL;9;11,13,14,17,45,52,54,55,57,64,69,72,86;14;1;TEST;58;522;55;6.47821;40;7.662835;1.184626;1.182863;34;58.62069
OVERALL;9;11,13,14,17,45,52,54,55,57,64,69,72,86;17;5;TEST;58;522;54;6.360424;34;6.51341;0.152986;1.024053;26;44.827586
OVERALL;9;11,13,14,17,45,52,54,55,57,64,69,72,86;45;2;TEST;58;522;60;7.067138;37;7.088123;0.020985;1.002969;31;53.448276
OVERALL;9;11,13,14,17,45,52,54,55,57,64,69,72,86;52;3;TEST;58;522;66;7.773852;32;6.130268;-1.643583;0.788575;25;43.103448
OVERALL;9;11,13,14,17,45,52,54,55,57,64,69,72,86;54;11;TEST;58;522;59;6.949352;34;6.51341;-0.435942;0.937269;27;46.551724
OVERALL;9;11,13,14,17,45,52,54,55,57,64,69,72,86;55;6;TEST;58;522;60;7.067138;32;6.130268;-0.93687;0.867433;25;43.103448
OVERALL;9;11,13,14,17,45,52,54,55,57,64,69,72,86;57;4;TEST;58;522;51;6.007067;31;5.938697;-0.06837;0.988618;20;34.482759
OVERALL;9;11,13,14,17,45,52,54,55,57,64,69,72,86;64;9;TEST;58;522;57;6.713781;34;6.51341;-0.200371;0.970155;26;44.827586
OVERALL;9;11,13,14,17,45,52,54,55,57,64,69,72,86;69;13;TEST;58;522;58;6.831567;35;6.704981;-0.126586;0.98147;28;48.275862
OVERALL;9;11,13,14,17,45,52,54,55,57,64,69,72,86;72;10;TEST;58;522;60;7.067138;33;6.321839;-0.745299;0.89454;27;46.551724
OVERALL;9;11,13,14,17,45,52,54,55,57,64,69,72,86;86;8;TEST;58;522;60;7.067138;41;7.854406;0.787268;1.111398;34;58.62069
OVERALL;10;02,03,14,16,39,45,52,53,56,70,74,77,87;2;6;DISCOVERY;159;1431;156;6.129666;101;7.058001;0.928335;1.15145;74;46.540881
OVERALL;10;02,03,14,16,39,45,52,53,56,70,74,77,87;3;1;DISCOVERY;159;1431;168;6.601179;117;8.176101;1.574922;1.238582;84;52.830189
OVERALL;10;02,03,14,16,39,45,52,53,56,70,74,77,87;14;8;DISCOVERY;159;1431;166;6.522593;106;7.407407;0.884814;1.135654;85;53.459119
OVERALL;10;02,03,14,16,39,45,52,53,56,70,74,77,87;16;12;DISCOVERY;159;1431;160;6.286837;100;6.98812;0.701283;1.111548;71;44.654088
OVERALL;10;02,03,14,16,39,45,52,53,56,70,74,77,87;39;10;DISCOVERY;159;1431;178;6.994106;112;7.826695;0.832589;1.119041;83;52.201258
OVERALL;10;02,03,14,16,39,45,52,53,56,70,74,77,87;45;2;DISCOVERY;159;1431;179;7.033399;122;8.525507;1.492108;1.212146;85;53.459119
