Dataset;Trigger;WindowSize;PoolSize;CandidatePool;DiscoveryOccurrences;PositiveLiftMembersValidation;PositiveLiftMembersTest;PositiveLiftMembersBoth;StableMembers;StableMemberRatePct
OVERALL;1;9;13;05,10,15,16,21,23,57,61,62,63,75,83,90;195;5;7;2;16,63;15.384615
OVERALL;2;9;13;03,07,12,22,24,54,58,64,65,71,80,86,89;155;7;4;2;07,71;15.384615
OVERALL;3;9;13;07,09,14,17,20,24,29,48,62,64,72,82,85;168;5;7;2;62,72;15.384615
OVERALL;4;9;13;19,22,34,50,61,63,68,71,76,78,83,88,90;170;7;6;2;63,76;15.384615
OVERALL;5;9;13;07,17,22,27,29,44,48,56,68,69,72,81,90;151;8;6;4;07,17,69,72;30.769231
OVERALL;6;9;13;03,19,38,39,45,51,56,57,59,80,81,82,88;182;4;7;0;;0.0
OVERALL;7;9;13;10,13,20,32,36,44,46,60,72,73,80,81,86;149;6;5;3;46,72,81;23.076923
OVERALL;8;9;13;29,33,41,49,52,53,56,58,64,72,77,87,88;178;3;5;0;;0.0
OVERALL;9;9;13;11,13,14,17,45,52,54,55,57,64,69,72,86;144;6;5;4;13,14,17,45;30.769231
OVERALL;10;9;13;02,03,14,16,39,45,52,53,56,70,74,77,87;159;7;6;4;14,56,70,77;30.769231
OVERALL;11;9;13;01,07,10,19,22,27,32,44,47,54,58,59,73;171;6;7;3;19,27,44;23.076923
OVERALL;12;9;13;10,24,29,45,56,67,69,71,72,79,83,87,88;171;7;6;4;24,56,71,79;30.769231
OVERALL;13;9;13;05,16,18,23,26,29,37,42,46,48,60,63,79;160;5;5;0;;0.0
OVERALL;14;9;13;02,13,19,23,44,45,49,52,55,80,84,86,90;166;8;7;4;19,55,80,86;30.769231
OVERALL;15;9;13;10,11,12,19,24,45,51,52,59,61,78,80,87;159;6;5;2;10,19;15.384615
OVERALL;16;9;13;01,10,14,22,23,31,37,39,41,46,76,79,85;159;4;7;3;14,76,79;23.076923
OVERALL;17;9;13;07,08,12,26,29,30,32,40,50,51,66,69,86;177;4;7;3;07,66,69;23.076923
OVERALL;18;9;13;08,09,17,22,26,41,42,50,53,61,80,85,88;150;7;7;4;08,26,50,85;30.769231
OVERALL;19;9;13;01,15,16,17,31,38,39,41,48,53,66,67,75;182;8;6;3;38,39,66;23.076923
OVERALL;20;9;13;03,15,17,26,33,42,44,48,57,70,71,78,82;165;7;7;4;15,42,71,82;30.769231
OVERALL;21;9;13;02,03,06,15,20,24,52,55,61,62,69,79,87;165;4;6;2;02,69;15.384615
OVERALL;22;9;13;12,13,27,31,43,52,64,65,67,72,73,80,86;165;5;4;2;52,67;15.384615
OVERALL;23;9;13;01,21,25,26,41,55,58,62,63,75,77,87,88;151;7;9;5;01,21,25,26,62;38.461538
OVERALL;24;9;13;09,13,15,27,32,33,46,49,55,60,67,79,85;158;6;6;4;27,46,67,85;30.769231
OVERALL;25;9;13;01,03,13,14,16,17,33,34,35,49,50,55,70;172;7;4;2;03,13;15.384615
OVERALL;26;9;13;04,19,30,34,39,41,45,52,53,54,68,85,90;172;6;5;3;04,39,54;23.076923
OVERALL;27;9;13;03,05,17,33,43,47,53,58,60,71,73,81,85;155;8;8;6;43,47,53,71,81,85;46.153846
OVERALL;28;9;13;06,08,19,30,38,40,56,64,65,66,83,86,88;148;4;4;2;19,38;15.384615
OVERALL;29;9;13;02,19,31,37,42,43,45,56,67,68,74,77,90;156;5;9;3;45,74,77;23.076923
OVERALL;30;9;13;18,23,25,29,54,60,62,66,69,70,75,83,85;163;2;5;1;62;7.692308
OVERALL;31;9;13;13,22,39,43,44,46,50,54,59,65,68,84,87;160;5;3;2;39,44;15.384615
OVERALL;32;9;13;04,10,15,16,40,41,50,53,63,68,71,74,80;177;4;8;2;63,68;15.384615
OVERALL;33;9;13;16,25,30,31,41,51,53,65,70,81,84,85,90;172;7;8;4;16,51,53,90;30.769231
OVERALL;34;9;13;04,05,09,14,27,37,45,46,49,52,64,78,84;161;4;5;1;49;7.692308
OVERALL;35;9;13;02,06,08,13,19,21,42,58,65,74,82,85,90;164;6;5;2;08,21;15.384615
OVERALL;36;9;13;01,05,07,26,29,33,41,56,59,64,71,74,88;156;7;8;4;07,56,71,88;30.769231
OVERALL;37;9;13;06,09,11,12,15,19,34,57,63,67,76,78,88;163;8;7;5;09,15,63,78,88;38.461538
OVERALL;38;9;13;15,29,33,47,54,55,57,58,60,67,72,79,85;176;6;4;1;33;7.692308
OVERALL;39;9;13;03,05,06,17,41,42,47,52,62,64,66,75,80;177;5;5;3;03,42,52;23.076923
OVERALL;40;9;13;02,23,26,35,36,43,48,50,61,80,83,88,90;165;6;7;1;61;7.692308
OVERALL;41;9;13;04,15,24,25,27,28,34,52,59,61,74,76,88;170;8;5;4;27,52,59,61;30.769231
OVERALL;42;9;13;03,15,17,21,22,26,31,39,50,65,66,77,89;163;5;6;1;26;7.692308
OVERALL;43;9;13;03,08,28,37,39,42,45,60,64,65,74,84,86;170;8;4;2;45,60;15.384615
OVERALL;44;9;13;01,07,13,35,45,48,56,57,59,69,75,82,88;155;4;4;2;82,88;15.384615
OVERALL;45;9;13;08,09,18,26,27,34,44,47,57,64,75,78,88;179;7;10;5;09,26,57,75,78;38.461538
OVERALL;46;9;13;09,33,36,42,51,54,61,69,74,79,81,84,87;154;5;6;1;69;7.692308
OVERALL;47;9;13;05,06,33,34,37,52,53,65,66,77,82,85,87;164;9;6;3;05,52,87;23.076923
OVERALL;48;9;13;09,12,13,15,17,21,25,26,29,31,40,57,63;168;7;4;2;12,31;15.384615
OVERALL;49;9;13;09,11,18,26,37,50,51,55,56,57,68,70,72;187;7;4;4;11,18,26,56;30.769231
OVERALL;50;9;13;01,09,10,14,30,36,41,43,51,71,75,81,84;150;5;8;3;36,81,84;23.076923
OVERALL;51;9;13;01,08,12,21,22,28,31,41,54,56,74,75,87;180;7;8;5;08,21,22,28,87;38.461538
OVERALL;52;9;13;01,04,13,25,33,39,41,45,66,76,79,81,89;175;5;8;3;01,66,89;23.076923
OVERALL;53;9;13;03,20,32,35,39,41,47,55,59,66,67,70,88;157;10;9;6;03,20,32,55,67,70;46.153846
OVERALL;54;9;13;10,25,38,45,47,52,65,66,68,69,82,83,84;180;9;6;4;10,25,68,82;30.769231
OVERALL;55;9;13;11,18,20,23,25,28,37,43,44,49,54,57,62;191;6;6;3;18,28,49;23.076923
OVERALL;56;9;13;14,15,27,28,36,38,40,41,49,63,69,74,87;184;6;5;1;38;7.692308
