Dataset;Trigger;WindowSize;PoolSize;CandidatePool;DiscoveryOccurrences;PositiveLiftMembersValidation;PositiveLiftMembersTest;PositiveLiftMembersBoth;StableMembers;StableMemberRatePct
OVERALL;57;9;13;06,07,10,16,19,35,36,42,48,54,60,74,86;169;6;6;2;16,42;15.384615
OVERALL;58;9;13;07,19,25,29,37,38,45,47,67,68,83,85,90;157;5;11;4;19,38,45,85;30.769231
OVERALL;59;9;13;01,11,12,19,29,33,38,43,56,61,62,72,89;145;8;7;4;12,38,56,89;30.769231
OVERALL;60;9;13;04,12,23,37,38,50,56,61,69,78,81,82,85;134;6;9;4;04,23,50,78;30.769231
OVERALL;61;9;13;17,20,30,32,34,45,58,64,71,76,81,84,85;180;6;4;1;64;7.692308
OVERALL;62;9;13;14,19,24,25,26,32,33,36,40,46,59,71,86;187;9;7;4;19,25,26,59;30.769231
OVERALL;63;9;13;04,15,16,26,40,42,44,53,57,60,68,70,71;181;7;3;1;53;7.692308
OVERALL;64;9;13;01,03,07,22,38,44,52,55,68,73,76,82,84;159;5;4;2;03,22;15.384615
OVERALL;65;9;13;06,24,36,38,40,42,46,48,55,70,83,85,87;171;3;4;1;48;7.692308
OVERALL;66;9;13;08,10,23,35,39,42,44,70,73,79,82,83,86;173;8;6;4;23,42,79,83;30.769231
OVERALL;67;9;13;16,23,26,34,37,39,45,49,59,75,78,89,90;163;8;5;3;23,37,39;23.076923
OVERALL;68;9;13;02,04,17,21,33,35,45,53,63,69,76,84,90;170;5;6;2;21,33;15.384615
OVERALL;69;9;13;03,14,23,38,39,41,55,64,67,79,84,85,88;162;6;7;3;23,67,85;23.076923
OVERALL;70;9;13;03,11,13,15,21,24,25,48,53,57,64,81,83;175;8;5;4;03,13,25,64;30.769231
OVERALL;71;9;13;07,12,17,25,33,37,55,62,67,72,73,80,86;173;5;6;2;17,37;15.384615
OVERALL;72;9;13;02,16,20,29,34,43,44,55,70,79,84,87,90;166;7;7;4;02,29,79,90;30.769231
OVERALL;73;9;13;05,10,13,16,24,36,39,43,52,64,68,76,81;155;8;6;2;05,43;15.384615
OVERALL;74;9;13;02,03,08,18,28,34,38,49,52,54,62,67,76;174;6;4;2;08,67;15.384615
OVERALL;75;9;13;01,20,21,31,39,46,54,66,69,71,74,76,83;181;4;7;2;20,54;15.384615
OVERALL;76;9;13;06,12,15,27,28,37,39,40,42,43,57,82,89;160;7;4;3;12,37,42;23.076923
OVERALL;77;9;13;01,11,19,36,39,44,53,55,56,63,84,87,90;189;6;6;4;11,36,56,90;30.769231
OVERALL;78;9;13;01,13,18,19,21,27,32,42,44,59,60,75,77;167;8;6;4;21,32,44,75;30.769231
OVERALL;79;9;13;05,18,33,36,38,42,45,51,54,58,62,69,88;184;5;7;3;36,51,58;23.076923
OVERALL;80;9;13;04,07,08,17,24,27,32,50,51,66,67,72,73;172;10;6;3;04,67,73;23.076923
OVERALL;81;9;13;01,05,13,20,27,39,50,57,60,69,73,75,83;189;9;8;6;13,20,27,69,73,83;46.153846
OVERALL;82;9;13;19,22,37,51,55,57,58,77,79,81,85,88,90;187;6;6;3;77,79,90;23.076923
OVERALL;83;9;13;11,18,20,21,46,47,48,53,55,56,63,68,77;186;6;9;6;11,18,20,47,56,77;46.153846
OVERALL;84;9;13;01,22,23,25,30,34,41,47,56,62,71,83,87;174;6;7;3;30,47,56;23.076923
OVERALL;85;9;13;05,08,14,16,30,31,32,33,34,37,38,50,66;196;7;6;3;14,16,30;23.076923
OVERALL;86;9;13;03,08,17,18,28,30,31,37,48,65,70,80,85;188;5;5;2;03,70;15.384615
OVERALL;87;9;13;09,24,28,30,34,36,44,51,57,62,67,68,69;185;3;7;2;28,36;15.384615
OVERALL;88;9;13;01,07,11,17,42,47,51,61,64,70,81,82,86;191;7;6;4;11,17,42,61;30.769231
OVERALL;89;9;13;04,12,16,32,33,40,42,51,62,63,71,75,85;163;9;6;5;04,33,42,62,71;38.461538
OVERALL;90;9;13;04,08,15,16,22,24,29,36,44,46,52,54,84;196;7;3;1;16;7.692308
